RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
81186;RF-TOUCH/BRW/BK/8/1954/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
81187;RF-TOUCH/BRW/BK/18/1870/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81191;RF-TOUCH/BRW/BK/20/1868/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81192;RF-TOUCH/BRW/BK/18/1894/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81193;RF-TOUCH/BRW/BK/18/1869/L;bedding;3;n;n;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81194;RF-TOUCH/BRW/BK/8/1953/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
81196;RF-TOUCH/BRW/BK/16/1889/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81197;RF-TOUCH/BRW/BK/20/1890/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81202;RF-TOUCH/BRW/BK/18/1892/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81204;RF-TOUCH/BRW/BK/18/1891/L;bedding;3;n;n;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81205;RF-TOUCH/BRW/BK/20/1895/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81611;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
81613;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
81619;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
81620;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
82292;RF-TOUCH/BRW/BK/14/2006;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
82295;RF-TOUCH/BRW/BK/19/2004;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
