package_id,application_names,local_version_name,local_version_code,local_architectures,play_status,play_version,play_updated,play_developer,play_url,play_availability,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,latest_release_date,latest_architectures,latest_source,cross_check,classification,blocker,lookup_date
com.linak.linakbed.ble.memory,Bed Control,6.0.5,259,armeabi-v7a,available,,2026-07-14,LINAK,https://play.google.com/store/apps/details?id=com.linak.linakbed.ble.memory&hl=en&gl=us,{},available,6.0.9,264,2026-07-07,arm64-v8a,https://apkpure.com/bed-control/com.linak.linakbed.ble.memory,6.0.9,264,2026-07-07,arm64-v8a,APKPure,apkpure_only,outdated,,2026-07-14
com.logicdata.app.android.bed,LOGICDATA MOTIONrelax,1.0.3,4,arm64-v8a,available,1.0.6,2025-08-01,LOGICDATA Electronic & Software Entwicklungs GmbH,https://play.google.com/store/apps/details?id=com.logicdata.app.android.bed&hl=en&gl=us,{},available,1.0.3,4,2025-01-26,arm64-v8a; armeabi-v7a,https://apkpure.com/logicdata-motionrelax/com.logicdata.app.android.bed,1.0.6,,2025-08-01,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.6; APKPure reports 1.0.3,2026-07-14
com.lucid.bedbase,Lucid Base,1.3.3,16,arm64-v8a,available,1.3.3,2025-09-02,CVB Inc.,https://play.google.com/store/apps/details?id=com.lucid.bedbase&hl=en&gl=us,{},available,1.3.3,16,2025-09-06,arm64-v8a; armeabi-v7a,https://apkpure.com/lucid-base/com.lucid.bedbase,1.3.3,16,2025-09-06,arm64-v8a; armeabi-v7a,APKPure,matched,current,,2026-07-14
com.malouf.bedbase,Malouf Base,2.4.3,54,arm64-v8a,available,2.4.3,2025-09-02,CVB Inc.,https://play.google.com/store/apps/details?id=com.malouf.bedbase&hl=en&gl=us,{},available,2.4.3,54,2025-09-13,arm64-v8a,https://apkpure.com/malouf-base/com.malouf.bedbase,2.4.3,54,2025-09-13,arm64-v8a,APKPure,matched,current,,2026-07-14
com.motion.rmtrelax,Relax Motion,1.5.0,521,arm64-v8a,available,1.5.0,2025-05-06,"Remacro Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.motion.rmtrelax&hl=en&gl=us,{},available,1.5.0,521,2025-05-28,arm64-v8a,https://apkpure.com/relax-motion/com.motion.rmtrelax,1.5.0,521,2025-05-28,arm64-v8a,APKPure,matched,current,,2026-07-14
com.okin.MattressPoint,MattressPoint,1.0.1,3,arm64-v8a,region_restricted,,,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.okin.MattressPoint&hl=en&gl=us,"{""au"": ""available"", ""ca"": ""not_in_region"", ""de"": ""not_in_region"", ""gb"": ""not_in_region"", ""jp"": ""not_in_region"", ""no"": ""not_in_region"", ""us"": ""not_in_region""}",available,1.0.3,5,2026-03-14,arm64-v8a,https://apkpure.com/mattresspoint/com.okin.MattressPoint,1.0.3,5,2026-03-14,arm64-v8a,APKPure,apkpure_only,outdated,,2026-07-14
com.okin.apex,Comfort Enhancement 3,1.4.0,5,arm64-v8a,available,1.4.0,2025-10-30,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.okin.apex&hl=en&gl=us,{},available,1.4.0,5,2026-01-16,arm64-v8a; armeabi-v7a,https://apkpure.com/comfort-plus3/com.okin.apex,1.4.0,5,2026-01-16,arm64-v8a; armeabi-v7a,APKPure,matched,current,,2026-07-14
com.okin.bedding.adjustablelumbar,Adjustable bed(Lumbar),1.1,29,arm64-v8a,available,1.2.2,2026-05-14,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.okin.bedding.adjustablelumbar&hl=en&gl=us,{},available,1.2.2,33,2026-05-22,arm64-v8a; armeabi-v7a,https://apkpure.com/adjustable-bed-lumbar/com.okin.bedding.adjustablelumbar,1.2.2,33,2026-05-22,arm64-v8a; armeabi-v7a,APKPure,matched,outdated,,2026-07-14
com.okin.bedding.adjustbed,Adjustable bed,1.1,27,arm64-v8a,available,1.2.1,2026-05-14,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.okin.bedding.adjustbed&hl=en&gl=us,{},available,1.2.1,33,2026-06-04,arm64-v8a,https://apkpure.com/adjustable-bed/com.okin.bedding.adjustbed,1.2.1,33,2026-06-04,arm64-v8a,APKPure,matched,outdated,,2026-07-14
com.okin.bedding.alya,Alya Smart Furnishing,1.0.2,3,armeabi-v7a,available,1.0.2,2023-12-11,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.okin.bedding.alya&hl=en&gl=us,{},available,1.0.2,3,2024-01-19,arm64-v8a; armeabi-v7a; universal,https://apkpure.com/alya-smart-furnishing/com.okin.bedding.alya,1.0.2,3,2024-01-19,arm64-v8a; armeabi-v7a; universal,APKPure,matched,current,,2026-07-14
